order_id,order_date,customer_id,customer_name,product_category,product_name,product_price,quantity,total_amount,payment_method
10081,2026-04-18,3683,Cathy George,Engine Parts,Spark Plug,3361.07,3,10083.21,UPI
10082,2026-02-28,6025,Judy Rojas,Suspension,Control Arm,2869.78,9,25828.02,COD
10083,2025-10-19,4869,Sharon Walls,Electrical,Battery,1815.02,7,12705.14,Card
10084,2025-10-29,9319,Janet Simpson,Engine Parts,Timing Belt,2406.25,5,12031.25,Card
10085,2025-12-11,7526,Danielle Ayers,Interior,Seat Cover,2690.98,7,18836.86,UPI
10086,2026-07-16,3952,Elizabeth Page,Brake System,Brake Fluid,1132.45,3,3397.35,UPI
10087,2026-08-05,9500,Hailey Velez,Electrical,Alternator,1088.31,4,4353.24,Card
10088,2026-02-02,5449,Johnny Combs,Interior,Steering Wheel Cover,3464.6,5,17323.0,Card
10089,2026-02-14,7579,Elizabeth Martinez,Brake System,Brake Disc,3456.34,8,27650.72,UPI
10090,2025-11-17,5926,Joshua Reese,Engine Parts,Oil Filter,4675.08,3,14025.24,Card
10091,2026-04-09,2454,Corey Rodriguez,Engine Parts,Timing Belt,2885.13,2,5770.26,Wallet
10092,2026-07-08,9124,Angel Sanders,Electrical,Headlight Bulb,1812.93,5,9064.65,Card
10093,2026-08-15,8317,Carl Ramirez,Electrical,Alternator,3840.61,5,19203.05,Card
10094,2025-10-26,4137,John Bennett,Electrical,Battery,3135.56,5,15677.8,COD
10095,2026-03-13,8563,Haley Powers,Interior,Seat Cover,2191.16,3,6573.48,UPI
10096,2026-02-18,5201,Hannah Buck,Suspension,Coil Spring,2990.06,7,20930.42,COD
10097,2026-06-27,3638,Mr. Cody Johnson,Electrical,Headlight Bulb,4876.05,4,19504.2,Wallet
10098,2025-12-23,4526,David Cole,Electrical,Headlight Bulb,904.66,5,4523.3,Wallet
10099,2026-03-01,2707,Robyn Smith,Electrical,Battery,4293.16,10,42931.6,Wallet
10100,2025-11-19,3436,Bobby Barajas,Electrical,Battery,653.69,9,5883.21,Wallet
